Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
FMN_104807_P001_WB04	3057338	1355146	44.3	350	282	280	254	202	134	1	68	94	0	0	280	0	205704
FMN_104807_P001_WB10	7809750	3457277	44.3	355	297	295	278	243	184	2	92	121	0	0	295	0	247299
FMN_104807_P001_WC06	6214972	2773575	44.6	349	292	290	274	240	178	2	92	118	0	0	290	0	239640
FMN_104807_P001_WC09	8330430	3766923	45.2	350	290	289	278	238	173	1	16	18	0	0	289	0	238566
FMN_104807_P001_WG07	3201910	1437400	44.9	337	279	277	258	207	139	1	72	92	0	0	277	0	208560
FMN_104807_P001_WH08	3992682	1778242	44.5	347	279	278	262	224	160	1	86	104	0	0	278	0	223935
FMN_104807_P003_WB04	1748706	758024	43.3	328	257	256	239	198	141	1	74	89	0	0	256	0	205281
FMN_104807_P003_WB05	3558168	1532811	43.1	339	278	277	262	229	155	1	91	110	0	0	277	0	226038
FMN_104807_P003_WB07	3492652	1538795	44.1	339	283	282	262	227	170	1	91	110	0	0	282	0	234345
FMN_104807_P003_WB08	2743922	1195067	43.6	341	274	273	259	223	164	1	87	108	0	0	273	0	227949
FMN_104807_P003_WB10	4189700	1785994	42.6	350	284	283	272	236	170	1	101	117	0	0	283	0	235578
FMN_104807_P003_WC01	3485734	1523445	43.7	340	288	287	267	214	137	1	78	99	0	0	287	0	215133
FMN_104807_P003_WC03	2373762	1039963	43.8	335	279	278	252	198	129	1	70	87	0	0	278	0	203670
FMN_104811_P001_WB07	1701574	589793	34.7	344	264	261	250	193	134	1	48	55	0	0	261	0	198459
FMN_104811_P001_WG11	3631216	1411872	38.9	362	270	268	238	174	115	1	53	76	0	0	268	0	188355
FMN_104811_P003_WA09	1958342	838465	42.8	327	264	262	250	210	147	1	15	20	0	0	262	0	219057
FMN_104811_P004_WD10	2702296	1115220	41.3	346	255	253	240	204	152	1	83	96	0	0	253	0	213891
FMN_104811_P005_WA01	366578	137753	37.6	309	209	204	167	93	48	0	1	2	0	0	204	0	119613
FMN_104811_P005_WA03	2949474	1237683	42.0	366	258	255	241	197	141	2	81	95	0	0	255	0	210690
FMN_104811_P005_WA04	1980188	860750	43.5	365	250	246	235	201	146	2	81	91	0	0	246	0	211563
FMN_104811_P005_WA06	2151794	886107	41.2	354	254	251	239	199	148	1	78	93	0	0	251	0	211764
FMN_104811_P005_WA07	1555788	647935	41.6	346	238	235	224	184	132	1	60	70	0	0	235	0	195459
FMN_104811_P005_WA08	766064	277159	36.2	307	218	216	206	167	126	1	70	74	0	0	216	0	190569
FMN_104811_P005_WA09	722940	257038	35.6	319	220	217	198	153	103	1	60	67	0	0	217	0	174576
FMN_104811_P005_WA10	721746	259717	36.0	316	218	215	200	160	106	0	15	21	0	0	215	0	176238
FMN_104811_P005_WA11	2079042	851197	40.9	338	250	246	232	192	138	2	69	77	0	0	246	0	202269
FMN_104811_P005_WA12	1098388	334309	30.4	327	225	223	212	166	122	1	64	71	0	0	223	0	184302
FMN_104811_P005_WB01	1530780	628579	41.1	349	248	245	233	187	128	1	70	82	0	0	245	0	199548
FMN_104811_P005_WB02	1026900	342074	33.3	326	224	222	205	155	108	1	45	58	0	0	222	0	176343
FMN_104811_P005_WB03	637904	202845	31.8	313	209	207	194	147	103	1	56	63	0	0	207	0	169275
FMN_104811_P005_WB04	571192	197714	34.6	310	207	205	189	145	102	1	54	58	0	0	205	0	168420
FMN_104811_P005_WB05	1022356	211557	20.7	310	201	199	190	148	101	1	55	60	0	0	199	0	169689
FMN_104811_P005_WB06	5301116	207252	3.9	326	211	208	199	151	112	1	61	70	0	0	208	0	173571
FMN_104811_P005_WB07	1687376	336734	20.0	338	229	226	215	176	131	2	15	24	0	0	226	0	192729
FMN_104811_P005_WB08	1477540	354258	24.0	317	217	214	205	169	123	1	53	63	0	0	214	0	188763
FMN_104811_P005_WB09	764362	157386	20.6	318	206	202	193	149	109	1	15	17	0	0	202	0	174714
FMN_104811_P005_WB10	219190	49746	22.7	266	173	172	148	93	51	0	16	31	0	0	172	0	114882
FMN_104811_P005_WB12	799446	170946	21.4	312	193	190	183	145	111	1	54	72	0	0	190	0	172305
FMN_104811_P005_WC02	1615796	431193	26.7	355	230	227	218	181	127	1	59	68	0	0	227	0	190968
FMN_104811_P005_WC03	1694462	312941	18.5	336	222	220	203	163	115	0	55	62	0	0	220	0	182277
FMN_104811_P005_WC05	1316228	159550	12.1	302	198	196	180	143	98	1	50	58	0	0	196	0	162948
FMN_104811_P005_WC06	709030	76942	10.9	276	175	173	164	122	82	1	36	43	0	0	173	0	145548
FMN_104811_P005_WC07	2366292	148831	6.3	305	196	194	179	128	81	1	41	50	0	0	194	0	150039
FMN_104811_P005_WC08	1788464	318717	17.8	336	224	222	208	167	117	1	58	71	0	0	222	0	184902
FMN_104811_P005_WC09	685964	237256	34.6	317	216	214	193	139	88	1	46	59	0	0	214	0	163065
FMN_104811_P005_WC12	1417662	575758	40.6	346	238	235	221	181	131	1	69	79	0	0	235	0	196467
FMN_104811_P005_WD01	1976846	751990	38.0	335	243	242	229	192	143	1	78	85	0	0	242	0	205995
FMN_104811_P005_WD02	958032	347336	36.3	327	227	225	215	173	129	1	78	84	0	0	225	0	192783
FMN_104811_P005_WD04	826176	272539	33.0	314	216	214	200	157	109	1	59	67	0	0	214	0	174933
FMN_104811_P005_WD05	965510	342577	35.5	332	225	223	212	160	109	1	56	64	0	0	223	0	178653
FMN_104811_P005_WD06	744236	242833	32.6	314	217	215	202	156	104	1	52	61	0	0	215	0	177855
FMN_104811_P005_WD07	986164	376507	38.2	339	226	224	209	156	114	1	61	68	0	0	224	0	183420
FMN_104811_P005_WD08	672482	233338	34.7	314	220	218	199	155	100	1	55	61	0	0	218	0	173097
FMN_104811_P005_WD09	1177142	456643	38.8	335	235	232	220	178	122	1	62	71	0	0	232	0	192006
FMN_104811_P005_WD10	633956	205424	32.4	304	210	207	190	141	97	1	43	54	0	0	207	0	167259
FMN_104811_P005_WD11	1138816	434377	38.1	329	230	227	219	185	129	1	69	79	0	0	227	0	196971
FMN_104811_P005_WE01	1355638	532171	39.3	347	237	235	223	191	142	2	73	83	0	0	235	0	203661
FMN_104811_P005_WE02	1662010	708037	42.6	355	248	245	234	197	138	1	75	84	0	0	245	0	206967
FMN_104811_P005_WE03	1478310	629720	42.6	336	241	239	229	193	144	2	74	83	0	0	239	0	211554
FMN_104811_P005_WE04	657964	232744	35.4	308	220	216	199	153	104	1	50	61	0	0	216	0	173157
FMN_104811_P005_WE06	538950	182534	33.9	303	210	208	198	145	101	0	47	51	0	0	208	0	170904
FMN_104811_P005_WE07	755888	302558	40.0	321	221	218	204	164	120	1	63	70	0	0	218	0	186138
FMN_104811_P005_WE08	1057622	408663	38.6	334	220	217	206	168	120	1	70	79	0	0	217	0	186960
FMN_104811_P005_WE09	539478	182032	33.7	302	206	204	192	148	105	0	45	55	0	0	204	0	171669
FMN_104811_P005_WE10	757764	292082	38.5	321	226	224	209	155	107	1	53	63	0	0	224	0	178620
FMN_104811_P005_WE11	1084586	429126	39.6	330	230	228	213	177	123	1	73	81	0	0	228	0	191652
FMN_104811_P005_WE12	1025334	414263	40.4	333	248	245	231	180	126	1	16	22	0	0	245	0	194559
FMN_104811_P005_WF01	2400896	1042405	43.4	341	257	253	241	189	133	1	68	89	0	0	253	0	202089
FMN_104811_P005_WF02	607278	208145	34.3	306	219	218	201	160	111	1	52	63	0	0	218	0	175407
FMN_104811_P005_WF04	790734	323366	40.9	331	238	234	223	184	131	2	13	16	0	0	234	0	202569
FMN_104811_P005_WF05	843330	306067	36.3	329	223	222	204	156	108	1	53	65	0	0	222	0	179073
FMN_104811_P005_WF06	689546	260092	37.7	314	218	216	199	147	92	1	48	57	0	0	216	0	165393
FMN_104811_P005_WF07	1939330	819087	42.2	357	250	247	237	203	160	2	84	93	0	0	247	0	216978
FMN_104811_P005_WF08	597654	215526	36.1	311	219	217	211	172	127	1	65	70	0	0	217	0	191988
FMN_104811_P005_WF09	1114704	438657	39.4	307	229	226	220	184	135	1	66	73	0	0	226	0	197499
FMN_104811_P005_WF10	485038	155054	32.0	301	198	196	167	104	65	1	29	46	0	0	196	0	130506
FMN_104811_P005_WG01	2437900	1037537	42.6	366	261	256	245	206	149	2	96	107	0	0	256	0	215940
FMN_104811_P005_WG02	917106	304258	33.2	326	232	228	214	165	109	1	8	13	0	0	228	0	177585
FMN_104811_P005_WG03	889858	327953	36.9	330	226	224	208	161	118	1	59	72	0	0	224	0	182559
FMN_104811_P005_WG08	1105640	385005	34.8	332	237	233	220	182	117	1	22	34	0	0	233	0	186831
FMN_104811_P005_WG09	542032	207552	38.3	316	216	214	200	151	106	1	58	65	0	0	214	0	174915
FMN_104811_P005_WG12	1470112	600110	40.8	356	239	235	226	188	137	1	73	85	0	0	235	0	201150
FMN_104811_P005_WH01	686278	296140	43.2	345	221	218	204	150	106	1	69	80	0	0	218	0	176013
