Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
FMN_104807_P001_WB04	3057338	1355146	44.3	350	282	280	278	271	249	133	68	94	0	0	280	0	427474
FMN_104807_P001_WB10	7809750	3457277	44.3	355	297	295	295	292	284	218	92	121	0	0	295	0	584470
FMN_104807_P001_WC06	6214972	2773575	44.6	349	292	290	290	289	280	211	92	118	0	0	290	0	564397
FMN_104807_P001_WC09	8330430	3766923	45.2	350	290	289	289	287	279	214	16	18	0	0	289	0	557641
FMN_104807_P001_WG07	3201910	1437400	44.9	337	279	277	277	270	250	145	72	92	0	0	277	0	435526
FMN_104807_P001_WH08	3992682	1778242	44.5	347	279	278	278	276	264	172	86	104	0	0	278	0	487542
FMN_104807_P003_WB04	1748706	758024	43.3	328	257	256	255	250	239	153	74	89	0	0	256	0	439818
FMN_104807_P003_WB05	3558168	1532811	43.1	339	278	277	276	273	262	194	91	110	0	0	277	0	509104
FMN_104807_P003_WB07	3492652	1538795	44.1	339	283	282	281	274	265	191	91	110	0	0	282	0	523812
FMN_104807_P003_WB08	2743922	1195067	43.6	341	274	273	273	267	263	186	87	108	0	0	273	0	502753
FMN_104807_P003_WB10	4189700	1785994	42.6	350	284	283	283	283	270	204	101	117	0	0	283	0	534179
FMN_104807_P003_WC01	3485734	1523445	43.7	340	288	287	285	277	258	141	78	99	0	0	287	0	441825
FMN_104807_P003_WC03	2373762	1039963	43.8	335	279	278	277	265	238	127	70	87	0	0	278	0	412641
FMN_104811_P001_WB07	1701574	589793	34.7	344	264	261	261	255	241	115	48	55	0	0	261	0	390204
FMN_104811_P001_WG11	3631216	1411872	38.9	362	270	268	266	247	234	124	53	76	0	0	268	0	387781
FMN_104811_P003_WA09	1958342	838465	42.8	327	264	262	262	258	250	173	15	20	0	0	262	0	472615
FMN_104811_P004_WD10	2702296	1115220	41.3	346	255	253	252	251	235	177	83	96	0	0	253	0	480440
FMN_104811_P005_WA01	366578	137753	37.6	309	209	204	204	188	156	47	1	2	0	0	204	0	263801
FMN_104811_P005_WA03	2949474	1237683	42.0	366	258	255	255	255	235	171	81	95	0	0	255	0	470884
FMN_104811_P005_WA04	1980188	860750	43.5	365	250	246	246	242	231	173	81	91	0	0	246	0	471290
FMN_104811_P005_WA06	2151794	886107	41.2	354	254	251	251	248	239	167	78	93	0	0	251	0	460924
FMN_104811_P005_WA07	1555788	647935	41.6	346	238	235	235	232	222	150	60	70	0	0	235	0	433801
FMN_104811_P005_WA08	766064	277159	36.2	307	218	216	215	211	202	140	70	74	0	0	216	0	399064
FMN_104811_P005_WA09	722940	257038	35.6	319	220	217	216	210	191	95	60	67	0	0	217	0	347501
FMN_104811_P005_WA10	721746	259717	36.0	316	218	215	215	211	193	120	15	21	0	0	215	0	368377
FMN_104811_P005_WA11	2079042	851197	40.9	338	250	246	245	240	230	158	69	77	0	0	246	0	439395
FMN_104811_P005_WA12	1098388	334309	30.4	327	225	223	222	217	203	132	64	71	0	0	223	0	387995
FMN_104811_P005_WB01	1530780	628579	41.1	349	248	245	244	243	229	153	70	82	0	0	245	0	441848
FMN_104811_P005_WB02	1026900	342074	33.3	326	224	222	222	214	198	98	45	58	0	0	222	0	356852
FMN_104811_P005_WB03	637904	202845	31.8	313	209	207	207	202	187	103	56	63	0	0	207	0	343147
FMN_104811_P005_WB04	571192	197714	34.6	310	207	205	205	198	186	105	54	58	0	0	205	0	340703
FMN_104811_P005_WB05	1022356	211557	20.7	310	201	199	198	192	182	97	55	60	0	0	199	0	330773
FMN_104811_P005_WB06	5301116	207252	3.9	326	211	208	208	204	187	103	61	70	0	0	208	0	338706
FMN_104811_P005_WB07	1687376	336734	20.0	338	229	226	226	222	209	138	15	24	0	0	226	0	410399
FMN_104811_P005_WB08	1477540	354258	24.0	317	217	214	214	213	206	126	53	63	0	0	214	0	384406
FMN_104811_P005_WB09	764362	157386	20.6	318	206	202	201	199	189	113	15	17	0	0	202	0	358535
FMN_104811_P005_WB10	219190	49746	22.7	266	173	172	168	148	118	19	16	31	0	0	172	0	200682
FMN_104811_P005_WB12	799446	170946	21.4	312	193	190	190	184	175	103	54	72	0	0	190	0	338735
FMN_104811_P005_WC02	1615796	431193	26.7	355	230	227	227	227	211	135	59	68	0	0	227	0	397478
FMN_104811_P005_WC03	1694462	312941	18.5	336	222	220	219	213	201	108	55	62	0	0	220	0	362447
FMN_104811_P005_WC05	1316228	159550	12.1	302	198	196	196	188	177	97	50	58	0	0	196	0	321800
FMN_104811_P005_WC06	709030	76942	10.9	276	175	173	173	168	153	68	36	43	0	0	173	0	275121
FMN_104811_P005_WC07	2366292	148831	6.3	305	196	194	192	184	166	65	41	50	0	0	194	0	287548
FMN_104811_P005_WC08	1788464	318717	17.8	336	224	222	222	215	202	121	58	71	0	0	222	0	376520
FMN_104811_P005_WC09	685964	237256	34.6	317	216	214	213	202	186	84	46	59	0	0	214	0	319585
FMN_104811_P005_WC12	1417662	575758	40.6	346	238	235	235	235	223	148	69	79	0	0	235	0	426134
FMN_104811_P005_WD01	1976846	751990	38.0	335	243	242	242	240	227	165	78	85	0	0	242	0	455295
FMN_104811_P005_WD02	958032	347336	36.3	327	227	225	225	221	207	148	78	84	0	0	225	0	413596
FMN_104811_P005_WD04	826176	272539	33.0	314	216	214	213	206	194	105	59	67	0	0	214	0	350977
FMN_104811_P005_WD05	965510	342577	35.5	332	225	223	222	218	206	119	56	64	0	0	223	0	373037
FMN_104811_P005_WD06	744236	242833	32.6	314	217	215	213	204	190	120	52	61	0	0	215	0	367982
FMN_104811_P005_WD07	986164	376507	38.2	339	226	224	224	220	202	119	61	68	0	0	224	0	376026
FMN_104811_P005_WD08	672482	233338	34.7	314	220	218	218	208	194	101	55	61	0	0	218	0	350934
FMN_104811_P005_WD09	1177142	456643	38.8	335	235	232	231	229	216	147	62	71	0	0	232	0	411942
FMN_104811_P005_WD10	633956	205424	32.4	304	210	207	206	197	182	93	43	54	0	0	207	0	330444
FMN_104811_P005_WD11	1138816	434377	38.1	329	230	227	226	225	218	152	69	79	0	0	227	0	430639
FMN_104811_P005_WE01	1355638	532171	39.3	347	237	235	234	233	220	165	73	83	0	0	235	0	449452
