Species	6785	7135	5664	7296	6282	6733	6148	TC03G002530	AT5G08530	TC03G001430	5842	5913	5477	7583	TC00G083870	5449	5821	AT3G02760	6265	6620	6527	7021	TC05G005750	6274	6393	AT5G13030	NM_124699.3	5260	6859	7363	AT5G21070	6914	5816	5614	6363	5634	NM_179236.3	5335	4724	6398	TC09G026260	TC00G047210	AT3G59040	TC01G002420	6779	KT377118.1	KT377126.1	TC05G029300	5699	5034	6641	5116	5220	7141	TC02G009310	6238	6705	6563	6732	5536	5841	5870	4890	6299	5326	AT3G53700	TC08G013000	5772	5318	6782	6955	6004	4796	6954	5926	AT4G15420	6226	AT5G02860	5791	TC04G030490	AT4G00740	TC01G033670	6679	6056	5347	4757	AT3G46610	AT5G13520	5333	6198	5163	7111	7628	AT3G10150	AT3G56940	7136	TC02G004290	5328	5918	5703	6164	5090	5454	5273	7174	6533	AT4G33945	4802	AT5G55960	5339	5919	5366	6552	7367	6460	5981	5802	6459	6969	6098	6979	5857	5977	5489	6946	5936	6064	5355	6506	5463	5594	6387	6221	4793	6797	4942	6270	6913	6854	7128	TC04G019470	TC07G000920	TC06G006880	AT3G54690	5644	5968	AT3G04880	TC09G007890	5656	TC02G024400	5296	5733	6538	6933	TC01G007130	6227	6034	6457	6540	TC02G003180	5426	6958	6366	AT2G31240	5354	5849	6072	7194	5770	AT4G38890	KT377078.1	6041	6962	5206	6500	6550	5910	5942	5596	TC09G017950	6792	6860	AT3G54090	6110	TC01G021540	5865	AT1G52310	AT5G57930	6893	6150	6450	5945	AT1G02020	TC05G022880	TC01G032610	5162	5406	NM_113708.2	TC04G026920	6383	AT5G64370	KT377086.1	5940	6570	4992	AT5G50280	6048	6978	7336	TC09G010970	6531	TC09G009480	NM_001198514.1	NM_148067.4	TC05G027690	TC02G026940	KT377070.1	5941	5949	7028	KT377102.1	6130	6977	6483	6439	6036	6406	AT5G13630	6320	5427	5639	AT5G40440	4954	AT1G65380	AT3G56460	6051	5348	AT4G39520	AJ133743.1	TC04G028160	5428	7325	TC02G006310	5434	6947	5343	6909	AT3G26782	6379	6407	TC01G005310	6865	4951	6528	TC04G030670	5138	7572	AT5G13400	TC06G016050	5264	5531	6667	6875	AT2G35790	AT1G17160	4806	7024	6924	TC09G026350	TC09G025650	TC03G025580	6713	TC01G019250	TC06G020780	TC09G004790	5815	6492	TC05G003200	6882	6995	7331	TC03G023900	6639	TC05G024510	5859	6848	AT1G48520	6114	4932	7273	5980	6565	5104	6284	6412	5893	6825	6000	5064	5398	5464	6494	TC01G040040	6448	6488	KT377094.1	5421	5177	TC01G019030	AT2G33630	5716	6378	5271	6636	6532	5032	6507	5460	4848	5702	6139	6864	6631	7333	7371	6544	6557	7602	6050	6487	5866	6405	AT2G35130	TC03G010340	4744	6601	6175	6318	TC07G011130	5578	4889	7029	TC05G008010	5554	AT5G23940	5843	TC06G011670	TC09G034320	TC04G015820	4471	5960	7324	5123	5933	6401	7577	TC03G012430	AT2G01650	6119	TC02G023190	5188	6780	5599	5958	6447	6216	6791	6430	5990	AT3G24190	6420	AT1G63680	5513	6883	4691	5469	TC03G028600	5660	7241	7279	TC07G000500
MeanLength	311.4782608695652	608.4	957.0	275.47058823529414	468.75	406.90909090909093	450.1304347826087	1930.5	1371.75	782.25	1061.0869565217392	1062.5	616.6666666666666	403.09090909090907	2289.0	1064.2105263157894	669.3529411764706	2151.5	631.125	1530.0	1371.6	820.1739130434783	1212.0	586.3125	719.4545454545455	1428.0	148.5	270.75	924.6923076923077	535.5	604.0	766.9565217391304	1519.2	2066.875	1241.6470588235295	1070.1	2407.0	1230.5	668.7692307692307	361.3125	1224.0	1040.0	1332.75	1317.75	704.3478260869565	1845.0	975.0	2239.5	946.5	685.7727272727273	567.4285714285714	1039.9565217391305	594.8823529411765	678.8571428571429	720.6	981.4090909090909	293.04545454545456	1046.7777777777778	435.42857142857144	375.75	801.0	633.2307692307693	575.52	437.2105263157895	1395.9545454545455	1275.0	1070.25	618.125	618.75	450.6666666666667	338.6	653.55	884.4	660.6315789473684	793.125	1275.0	1001.88	1975.5	679.5	1222.0	1517.25	927.0	639.2608695652174	970.9411764705883	220.0	715.0	1538.0	1548.0	2244.15	461.45454545454544	1550.8333333333333	601.4285714285714	506.8636363636364	875.4	1209.0	420.5625	778.5	476.625	735.3913043478261	911.3333333333334	350.4782608695652	499.1666666666667	1195.05	1414.2631578947369	1297.125	1138.304347826087	1362.0	852.7058823529412	1547.5	1702.111111111111	463.22727272727275	1171.2	676.2352941176471	342.0	944.875	876.1363636363636	268.57142857142856	735.875	282.88235294117646	1813.5	778.375	653.3333333333334	611.4	953.1666666666666	443.4375	960.0	643.7368421052631	299.04545454545456	518.3333333333334	478.0	648.0	814.6	645.7142857142857	1565.8695652173913	662.2105263157895	788.4285714285714	396.75	948.2142857142857	734.75	1246.5652173913043	698.25	1296.0	1200.0	873.75	850.695652173913	462.42857142857144	885.75	1514.0	799.0	1276.5	993.2142857142857	554.8421052631579	602.25	639.7142857142857	1289.25	589.2352941176471	563.7272727272727	508.2631578947368	610.2	1151.25	1441.0434782608695	716.3076923076923	2226.0	1571.25	480.4	552.6	662.1176470588235	462.2608695652174	1222.3636363636363	2007.0	508.5	1867.3125	476.1666666666667	562.421052631579	1410.6	372.0	712.0434782608696	601.9615384615385	1735.4285714285713	1799.0	678.6315789473684	556.2	1144.5	344.04	1533.0	1384.375	1316.25	1138.5	380.52	661.05	1183.5	716.25	1627.5	1067.0	1629.0	1354.5	1513.75	400.0	1794.0	968.4545454545455	938.4	1137.0	757.7142857142857	612.6521739130435	2017.0	1879.5	297.0	832.2352941176471	448.35	1176.0	417.85714285714283	1237.8	2018.0	1926.0	2142.0	1296.75	1074.0	1434.0	547.2272727272727	516.5	997.5	443.5263157894737	474.57142857142856	751.125	477.45	1211.8125	847.7142857142857	3470.25	1243.6363636363637	813.9545454545455	871.1666666666666	1548.0	1037.3333333333333	1219.0	879.0	1110.1304347826087	488.85714285714283	1068.0	988.5	1044.0	523.0909090909091	462.85714285714283	898.5	709.1666666666666	1527.5714285714287	670.65	558.5625	1269.0	295.90909090909093	407.8636363636364	1185.0	653.0	576.15	440.4375	1215.0	694.5	721.0	1692.75	850.0	1464.5625	414.1304347826087	918.0	1251.0	646.5	844.0	595.7727272727273	293.75	1204.2	2046.0	652.0	1625.0	853.2857142857143	1590.0	1813.0	760.5	624.6	546.4285714285714	582.75	541.8571428571429	238.0	796.0434782608696	1306.0	693.4090909090909	1589.25	774.1428571428571	518.3181818181819	1642.5	566.4	951.6923076923077	426.70588235294116	715.2631578947369	495.27272727272725	427.6	1107.7142857142858	605.8846153846154	594.6521739130435	414.1363636363636	607.2857142857143	224.07692307692307	1671.6923076923076	820.3333333333334	1323.0	1246.0	864.8	625.2272727272727	918.0	1258.235294117647	629.7142857142857	934.5	1258.5	1791.8181818181818	924.0	593.55	628.7368421052631	258.9130434782609	914.4	549.4285714285714	385.7142857142857	1602.9545454545455	760.5	929.8235294117648	500.3076923076923	750.2727272727273	422.57142857142856	235.9090909090909	2227.6	310.85714285714283	727.2631578947369	771.2307692307693	1513.0	494.57142857142856	1050.9473684210527	1561.5	1038.0	315.27272727272725	716.3684210526316	1341.1304347826087	1715.8333333333333	1177.5	210.0	516.4090909090909	803.8	1841.0	1159.695652173913	1026.0	366.54545454545456	1575.0	1354.0	1891.5	772.5	1021.35	669.8571428571429	761.6842105263158	832.5	639.0	455.04545454545456	1314.75	1342.5	2232.681818181818	1125.0	625.65	368.5263157894737	1722.6315789473683	344.36842105263156	422.55	909.4615384615385	442.7647058823529	279.0	384.0	2368.5	672.2857142857143	1958.25	754.9090909090909	489.6666666666667	545.6666666666666	563.4285714285714	610.5	476.8333333333333	591.625	915.2727272727273	1905.0
FMN_104807_P001_WB04	72	312	492	0	180	0	159	993	1440	792	147	462	474	0	2586	651	0	2361	0	414	309	408	1251	204	0	1437	159	0	0	0	516	375	291	141	0	0	1494	87	579	378	633	0	1032	525	0	1005	684	1830	618	0	558	345	297	0	687	495	231	657	0	0	675	261	0	0	1263	1272	990	0	324	336	327	669	0	297	339	1413	168	1596	168	1086	1152	882	84	93	219	348	1659	1833	351	0	531	0	0	975	987	420	660	441	201	0	345	267	1197	555	0	498	708	429	1938	447	642	69	0	0	846	273	267	576	0	1260	813	288	0	0	0	663	0	0	0	309	492	492	420	0	273	291	0	633	312	435	756	1263	1317	1029	354	90	918	1566	0	1215	0	0	0	0	1362	591	0	0	0	1032	1251	279	0	1521	0	321	0	0	0	1332	351	927	294	357	816	267	345	600	1728	1962	441	315	1227	303	1227	0	1503	834	0	0	447	426	1599	702	876	618	1737	348	930	0	1110	801	414	519	708	1950	0	252	378	666	546	1296	2262	765	1011	1326	705	357	249	294	408	294	0	0	507	1044	0	3687	258	186	498	711	1074	906	942	1089	0	663	1002	870	0	0	585	1053	0	687	522	1437	0	0	864	363	0	384	1014	363	513	1857	822	1491	339	726	1311	564	726	0	159	0	990	681	1674	0	1722	786	747	342	387	600	0	0	153	678	432	1635	621	399	624	0	762	0	564	0	0	714	0	516	168	609	0	888	303	1119	1164	165	0	285	141	0	942	1425	573	162	0	0	210	0	0	0	1278	303	924	0	0	768	0	753	0	444	171	1011	0	0	1191	816	0	135	1146	0	585	204	0	159	1989	525	891	0	1299	1389	1914	396	0	420	126	465	0	0	1410	1395	1407	1188	174	0	180	360	234	222	0	219	207	702	339	2007	267	423	336	702	648	0	0	0	1377
FMN_104807_P001_WB10	72	435	645	0	357	0	420	1146	1458	792	240	741	627	0	2571	1131	0	2361	135	438	579	531	1266	591	0	1548	159	0	549	0	519	678	444	507	453	0	1725	333	684	378	840	0	1032	1323	0	1158	984	2001	879	357	561	1053	297	0	744	735	228	750	0	0	984	381	0	0	1509	1272	1038	0	564	432	327	864	0	603	414	1413	168	1773	576	1290	1419	882	84	189	219	558	1659	1833	918	0	531	0	0	978	1209	693	660	474	336	0	351	486	1284	657	0	582	843	576	1938	549	642	192	0	0	975	285	267	549	0	1353	780	288	423	114	0	978	0	0	0	462	633	510	573	0	558	453	0	963	567	1227	777	1308	1317	1023	510	192	918	1563	0	1215	0	0	0	0	1362	591	0	0	0	1173	1500	426	0	1689	0	564	0	0	0	1413	351	1224	366	507	1386	282	354	600	1485	1962	507	315	1269	342	1254	0	1560	1167	0	0	447	780	1725	1002	933	903	1617	354	1212	99	1110	924	441	519	984	1944	0	405	312	768	591	1428	2268	1101	1122	1359	1026	606	297	294	414	471	210	252	507	1395	0	3978	474	402	612	837	1080	906	1044	1197	0	759	1002	870	330	0	585	1053	0	687	540	1437	0	0	1194	435	0	384	1215	441	678	1857	822	1503	429	939	1311	564	906	141	159	0	1338	681	1935	0	1722	2019	822	648	528	600	0	0	156	1041	678	1635	960	471	843	0	807	402	633	0	0	1431	0	633	180	603	0	1011	420	1359	969	204	417	363	141	0	942	1431	1587	336	0	99	252	0	0	0	2292	576	924	0	0	768	0	948	0	675	306	1071	0	411	1191	1020	0	564	1338	0	762	204	0	216	1971	558	1107	0	1521	1389	2049	381	0	438	0	807	0	0	1392	1395	2196	1188	333	0	333	360	342	222	0	249	225	930	459	2148	264	483	474	834	648	441	0	0	1773
FMN_104807_P001_WC06	72	435	606	0	468	0	396	1125	1458	792	144	645	627	0	2577	1074	0	2361	135	579	657	534	1254	324	0	1602	159	0	0	0	519	678	360	558	540	0	1488	270	684	378	795	663	1032	1350	0	1167	816	1833	837	0	414	1053	297	0	687	735	228	750	0	0	930	459	0	0	1509	1272	1068	0	564	336	327	837	0	366	414	1413	168	1773	444	1251	1368	930	84	189	219	558	1659	1833	0	0	705	0	0	978	1101	693	660	225	246	0	351	483	1332	756	0	582	810	597	1938	549	642	192	222	0	975	402	267	666	0	1272	816	288	0	0	0	975	0	0	285	390	648	663	573	0	498	453	0	906	546	1242	777	1308	1317	1020	378	192	918	1563	0	1215	0	0	0	0	1362	591	0	0	0	1173	1542	657	0	1689	0	366	0	0	0	1431	351	1074	375	507	1377	321	345	600	1485	1962	483	315	1269	321	1254	0	1560	774	0	0	447	780	1599	963	1053	1017	2058	354	1239	99	1110	912	522	519	936	1950	0	405	456	798	591	1428	2268	936	1125	1365	864	543	294	372	402	471	174	168	507	1599	0	2883	345	402	693	834	1080	906	1044	1197	132	768	1002	870	453	0	585	1053	0	687	540	1437	0	0	1155	363	0	384	1215	363	618	1857	822	1506	393	939	1302	564	726	0	246	0	1260	681	1953	0	1722	1812	822	360	528	600	0	0	186	972	678	1635	621	399	843	0	837	249	579	0	0	1323	0	633	366	609	0	1137	402	1362	1194	204	360	360	141	0	942	1437	1407	477	0	0	252	0	0	0	1704	612	924	0	0	771	0	948	0	675	267	1071	0	0	1191	972	0	564	1209	0	732	204	0	249	1986	558	1089	0	1581	1389	2049	396	0	693	126	807	0	0	1410	1395	1602	1188	288	0	0	360	300	222	0	219	225	930	462	2328	363	483	474	702	648	0	0	0	1317
FMN_104807_P001_WC09	0	564	0	0	360	0	402	1146	1449	831	228	495	627	0	2583	1182	0	2361	0	438	651	552	1245	591	0	1548	159	279	0	0	519	678	0	585	453	0	1494	306	684	378	624	546	555	1272	324	1152	684	2007	372	0	336	372	297	0	672	813	228	750	0	0	819	501	0	0	1560	1272	990	222	567	402	315	801	0	681	414	1416	168	1791	363	1134	1464	930	84	186	219	447	1662	1833	648	0	690	0	282	984	1212	213	672	441	249	0	351	477	1176	696	0	498	939	561	1944	558	645	198	0	0	1098	354	267	801	0	1380	690	288	0	0	0	978	0	0	0	390	648	711	480	0	567	654	0	891	363	1239	777	1311	1317	1032	354	273	900	1575	327	1284	0	0	0	0	1359	591	0	0	0	1125	1461	627	0	1683	0	609	0	294	78	1410	351	1074	294	507	912	267	711	600	1776	1938	510	327	1257	321	1254	522	1560	1167	0	0	426	780	1725	1029	819	981	2091	354	1239	0	1158	900	486	519	963	1947	0	405	453	765	408	1299	2262	1119	1161	1359	582	672	0	363	417	519	0	0	507	1482	0	3885	354	432	597	837	1080	906	1044	1203	0	732	993	870	0	0	585	657	0	726	540	1437	72	0	1113	657	0	432	1239	372	618	1857	963	1779	429	561	729	564	723	132	0	480	1335	681	1911	0	1716	1242	747	645	528	600	0	0	0	843	528	1635	960	393	843	0	837	156	579	0	0	1233	0	489	372	609	0	1122	420	1269	1245	363	660	363	135	0	945	1365	1335	606	165	0	252	0	0	0	1134	513	921	0	0	750	0	957	0	387	228	975	0	0	1194	1041	0	738	1359	0	789	0	0	249	1965	609	1158	0	1560	1389	2049	420	0	552	267	873	0	0	1410	1395	1407	1188	432	0	0	360	339	222	0	0	207	930	375	2187	363	477	345	702	648	510	387	0	1689
FMN_104807_P001_WG07	72	306	645	0	270	0	0	1050	1434	792	240	462	474	0	2571	621	0	2361	0	432	333	366	1254	336	0	1437	159	0	378	0	519	375	318	327	396	0	1488	147	543	378	660	0	1032	549	0	888	684	1230	507	0	336	366	297	0	687	330	228	621	0	0	507	327	0	0	1383	1272	990	0	261	330	321	669	0	294	339	1413	168	1611	270	1086	1152	930	84	93	219	576	1659	1833	0	0	486	0	0	978	996	213	660	441	201	0	351	267	1062	651	0	495	795	429	1947	447	642	69	0	0	822	0	267	540	0	1212	816	288	0	0	0	861	0	0	0	309	648	462	480	0	0	300	0	720	360	1005	777	1266	1317	1038	354	90	918	1563	0	1215	0	0	0	0	1362	591	0	0	0	1032	1302	348	0	1521	0	321	0	0	0	1368	318	987	252	507	825	267	354	600	1014	1962	483	264	1272	321	1368	0	1503	834	0	0	384	717	1599	714	663	753	1545	354	1023	0	1110	720	0	519	780	1944	0	333	456	687	540	1296	2262	768	1080	1359	738	357	0	294	408	381	0	0	432	1047	0	3615	336	297	585	744	1080	906	933	1197	0	654	1002	870	348	0	510	999	0	708	540	1437	0	0	852	363	0	384	1065	363	591	1857	822	1503	420	726	1311	564	726	0	159	0	1146	681	1725	0	1722	1416	747	342	528	600	0	0	132	699	678	1635	621	399	744	0	657	0	531	0	0	714	0	537	180	609	0	849	264	1041	1164	165	168	285	141	0	855	1398	438	285	0	0	165	0	0	0	1011	303	924	0	0	768	0	840	0	504	228	1071	0	0	1191	915	0	216	1152	0	657	204	0	171	1986	504	891	0	1338	1389	2049	219	0	516	0	633	0	0	1410	1395	1407	1188	246	0	252	360	342	222	0	219	207	930	339	2184	267	423	438	594	648	0	0	0	1398
FMN_104807_P001_WH08	72	399	645	0	279	0	0	1110	1437	792	132	537	474	0	2571	1131	0	2361	0	432	444	504	1263	294	0	1485	159	0	507	0	531	375	0	342	0	0	1488	213	627	378	681	0	1032	1164	0	927	684	1944	711	0	558	549	297	0	687	480	228	666	0	0	882	381	0	0	1506	1272	990	0	321	336	327	774	0	378	414	1413	168	1791	282	1188	1245	912	84	93	219	558	1659	1833	0	0	450	0	0	990	1089	213	660	441	201	0	345	486	1173	324	0	576	843	447	1938	483	642	192	0	0	933	327	267	615	0	1164	813	288	0	0	0	918	0	0	0	390	651	567	468	0	519	300	0	816	522	1188	777	1308	1317	1023	354	90	918	1566	0	1182	0	0	0	0	1362	591	0	0	0	1044	1467	363	0	1623	0	564	0	0	0	1413	351	987	294	396	1377	267	345	600	1728	1947	507	264	1269	342	1392	0	1503	834	0	0	447	780	1596	819	1059	861	2133	354	1176	99	1110	903	0	519	714	1944	0	405	366	768	591	1296	2262	789	1164	1359	822	465	249	294	414	411	189	0	501	1437	0	3873	339	402	681	801	1077	906	951	1197	0	705	1002	870	324	0	543	1053	0	711	540	1437	0	0	1077	363	0	384	1173	375	618	1857	822	1503	420	798	1311	564	726	0	168	0	1014	681	1812	0	1722	1497	747	648	528	600	0	0	195	813	489	1635	621	399	624	0	681	0	579	0	0	1203	0	552	180	609	0	1026	414	1215	1119	165	456	285	141	0	942	1398	756	321	0	0	252	372	0	0	1758	237	924	0	0	771	0	876	0	543	306	1071	0	0	1191	915	0	0	1287	0	624	204	0	159	1986	609	963	0	1521	1389	2049	396	0	519	0	663	0	0	1410	1395	1407	1188	0	0	0	360	186	222	0	219	207	930	339	2184	267	483	441	702	648	0	0	0	1608
FMN_104807_P003_WB04	72	312	363	0	309	0	0	1068	1452	795	0	462	627	0	2580	984	0	2358	0	243	579	339	1173	0	0	1437	159	0	0	0	519	375	0	123	0	0	1494	204	612	225	723	633	1032	1062	0	1008	732	1749	378	0	336	252	297	0	486	642	270	720	0	0	807	381	0	0	1440	1272	990	0	321	336	294	750	0	0	414	1413	198	1659	363	1062	1215	897	0	93	219	336	1659	1833	0	0	525	0	0	978	1074	414	660	441	0	0	351	477	1188	471	0	495	744	444	1944	441	642	192	0	0	882	402	267	558	0	1269	0	288	0	0	0	909	0	0	0	378	624	510	453	0	0	306	0	813	360	1158	756	1296	1317	978	354	0	912	1563	195	1218	0	0	0	0	1362	591	0	0	0	1032	1287	318	0	1641	0	279	0	0	0	1446	351	987	294	396	720	267	354	600	879	1959	459	258	1368	321	1254	0	1503	834	0	0	0	717	1599	738	807	870	1782	354	1065	0	1110	720	0	519	834	1953	0	0	0	657	408	1296	2262	711	1110	1359	705	438	0	297	408	471	132	0	507	1371	0	3741	285	0	591	666	1041	906	951	1197	0	705	1002	870	0	0	585	1038	0	711	540	1437	0	0	996	363	0	384	1113	0	618	1857	825	1503	354	822	1305	564	726	0	120	0	990	681	1659	0	1722	576	747	414	528	600	0	0	105	747	426	1635	621	399	696	0	672	0	579	0	0	714	0	165	0	609	0	990	441	1119	1164	165	0	285	132	0	903	1434	615	219	0	0	207	0	0	0	1314	291	924	0	0	780	0	804	0	0	228	693	0	0	1191	795	0	0	1239	0	618	204	0	0	1965	531	981	0	1398	1389	2049	171	0	492	117	627	0	0	1404	1404	1407	1188	0	0	0	360	0	204	0	0	0	930	339	2175	366	423	468	570	648	0	0	0	1476
FMN_104807_P003_WB05	72	438	645	0	270	0	162	1095	1434	795	0	459	627	0	2586	678	0	2361	0	390	585	438	1248	0	0	1488	159	0	561	0	519	678	0	468	294	0	1488	270	672	378	795	615	1185	1293	0	951	960	1998	378	0	336	561	297	0	687	495	228	750	0	0	507	381	0	0	1509	1272	990	0	339	342	327	804	0	513	414	1401	168	1791	444	1290	1368	930	84	177	219	561	1659	1833	0	0	528	0	0	978	1209	213	660	441	0	0	351	441	1134	732	0	585	909	552	1938	549	642	192	0	0	807	273	267	576	0	1362	816	288	0	132	0	978	0	0	0	390	648	813	483	0	453	453	0	906	522	1143	777	1305	1317	1020	555	0	918	1566	0	1215	0	0	0	0	1362	591	0	0	0	1146	1491	300	0	1572	0	396	0	0	0	1413	351	987	252	468	807	267	354	600	1263	1962	507	264	1269	342	1416	0	1560	1173	0	0	384	771	1173	1053	981	846	1650	354	1068	0	1110	891	588	519	873	1944	0	405	0	762	591	1296	2268	807	1074	1359	834	756	0	294	525	390	207	168	510	1374	0	4119	402	327	597	837	1074	906	1044	1197	0	765	1002	870	0	0	585	1053	0	711	540	1437	0	0	1068	363	0	384	1215	0	618	1857	822	1506	348	873	1311	558	726	0	222	0	1293	681	1485	0	1722	954	747	345	528	606	0	0	222	717	492	1635	621	399	843	0	657	0	579	0	0	1215	0	609	180	609	0	912	336	1194	1299	204	432	252	141	0	942	1434	768	321	0	0	252	0	0	0	1737	498	924	0	0	756	0	831	0	480	252	1071	0	0	1191	996	0	225	1281	0	747	204	0	216	1986	657	984	0	1581	1389	2049	396	0	693	126	744	0	0	1410	1395	1407	1188	246	0	252	360	0	222	0	189	207	930	357	2196	369	423	405	780	648	0	0	0	1992
FMN_104807_P003_WB07	72	531	627	0	180	0	369	1122	1413	789	144	357	627	0	2571	678	0	2361	0	432	606	627	1266	0	0	1548	159	0	441	0	657	453	363	354	0	0	1371	270	684	378	795	0	1032	1473	0	1128	951	1902	765	339	507	1053	297	0	687	735	228	750	0	0	513	381	0	0	1509	1272	1038	0	564	330	315	837	0	516	414	1413	168	1791	618	1077	1527	930	84	93	219	558	1659	1833	0	0	528	0	0	975	1212	408	660	441	198	0	345	486	1173	756	0	546	936	537	1944	603	642	192	0	0	975	216	267	627	0	1353	813	288	0	114	0	966	0	0	0	462	651	591	477	0	444	300	0	903	567	1170	777	1308	1317	1023	537	189	918	1566	0	1215	0	0	0	0	1362	591	0	0	0	1173	1479	429	0	1632	0	267	0	0	0	1443	351	1074	294	507	1386	267	354	600	1485	1962	507	357	1269	342	1254	0	1560	1167	0	0	447	780	1599	930	1122	708	1647	354	1236	99	1110	903	0	519	1077	1944	0	423	456	774	591	1296	2262	786	1257	1359	864	447	249	387	408	471	0	168	507	1722	0	4065	297	315	759	774	1080	906	1044	1197	0	768	1002	870	0	0	585	1053	0	711	540	1437	0	0	1140	363	0	384	1215	363	618	1857	822	1797	429	822	1311	564	726	0	0	0	1338	681	2049	0	1722	1689	747	477	528	600	0	0	222	804	552	1635	618	399	828	0	837	0	498	0	0	1236	0	705	201	609	0	1005	336	1362	1281	204	138	285	141	0	936	1434	789	219	0	0	210	0	0	0	1689	486	924	0	0	771	0	1590	0	540	228	1062	0	300	1191	1113	0	255	1287	0	726	204	0	204	1971	558	999	0	1584	1389	2049	396	0	693	0	801	0	0	1410	1395	1407	1188	453	0	366	360	342	222	0	219	225	930	459	2184	357	480	474	831	648	0	0	0	1875
