Species	6733	TC01G007130	6958	TC01G019250	6978	5264	5354	AT1G48520	AT3G02760	6363	TC03G023900	TC04G028160	5449	TC02G024400	NM_179236.3	5913	5513	TC02G003180	6631	AT5G64370	6274	6875	4691	4992	TC01G002420	5104	6860	4954	6882	5398	5123	5116	5335	AT5G50280	7371	6050	AT3G53700	7241	5347	5958	6148	6216	5463	6995	5434	AT3G10150	6557	5477	5865	6150	5454	7194	6641	AT3G54090	TC06G011670	6507	7363	NM_148067.4	5866	6620	5489	6130	6946	6532	5634	4951	6265	5772	AT3G04880	6705	6064	6420	6864	KT377094.1	AT5G40440	4471	AT5G08530	AT3G59040	6483	5064	6962	AT5G21070	TC05G022880	5426	AT3G46610	TC06G020780	6538	7324	6401	6531	6639	AT2G31240	5594	5427	4793	7577	6318	6785	6732	6282	AT4G39520	7336	AT5G57930	5464	6825	5469	5260	5644	7141	6098	TC04G026920	6969	AT1G02020	5933	5816	5554	AT4G00740	6487	6636	TC03G001430	TC04G030670	4802	TC01G040040	AT4G33945	TC09G007890	TC01G019030	5919	6913	4724	TC09G034320	AT3G54690	6139	5090	TC03G010340	TC05G008010	6379	5926	7602	6533	5220	6570	6565	6601	5821	7333	5842	TC08G013000	5536	7583	AT2G33630	TC05G005750	6492	TC07G000920	5716	6459	7028	5980	6320	AT5G02860	6048	6270	5339	5977	6366	5326	6909	AT2G35790	5318	4942	TC00G083870	KT377070.1	5343	5355	AT3G26782	AT5G13400	TC05G024510	5815	5406	TC01G005310	TC04G015820	5941	AJ133743.1	6859	5664	5273	5770	5614	TC01G033670	4848	TC04G030490	AT1G65380	4889	6848	6540	7325	6407	TC00G047210	TC06G006880	6412	5942	TC09G025650	5945	6977	5859	6439	6056	AT3G56460	TC09G026260	6175	7135	TC07G011130	5791	TC02G006310	6933	7273	AT1G17160	6791	6448	6506	TC02G009310	5162	6563	5936	4890	6792	AT5G13630	TC03G028600	6041	6924	6227	6238	NM_113708.2	7111	6979	5857	6854	6198	6378	5849	5188	6955	KT377086.1	5596	5328	5163	5660	7136	6782	5531	6072	6393	6780	TC02G004290	5949	5599	AT4G15420	6552	5910	6387	4796	6034	6221	TC01G021540	6947	AT1G52310	NM_124699.3	6883	6460	5296	6679	AT5G13030	7296	6914	5333	5870	6779	5032	6488	7572	5841	TC03G025580	5271	6110	TC04G019470	7367	6450	5656	KT377078.1	TC05G029300	6865	6430	5893	7128	5639	7024	6954	TC05G027690	TC03G012430	4806	7279	AT2G35130	TC09G017950	5918	TC09G004790	6667	5699	TC09G010970	6447	6398	6457	NM_001198514.1	4932	6226	5990	AT5G23940	5802	6893	TC06G016050	6051	TC09G009480	6284	6406	TC01G032610	6405	7331	KT377126.1	AT5G13520	TC02G026940	6550	7174	TC03G002530	5460	AT3G56940	6494	6036	5981	6114	5703	6299	5968	4757	5421	5940	5843	5206	5177	TC02G023190	5578	6004	5960	6544	AT3G24190	TC05G003200	6527	TC07G000500	6000	5034	TC09G026350	5366	7021	5702	AT1G63680	5733	KT377102.1	7628	AT2G01650	6713	KT377118.1	6383	AT5G55960	5138	AT4G38890	6164	7029	5348	4744	5428	6119	6500	6528	6797
MeanLength	406.90909090909093	1289.25	716.3076923076923	1590.0	832.2352941176471	1464.5625	480.4	1642.5	2151.5	1241.6470588235295	1306.0	1044.0	1064.2105263157894	1276.5	2407.0	1062.5	754.9090909090909	1151.25	750.2727272727273	938.4	586.3125	1251.0	545.6666666666666	2017.0	1317.75	427.6	556.2	1037.3333333333333	541.8571428571429	1671.6923076923076	761.6842105263158	1039.9565217391305	1230.5	1879.5	235.9090909090909	771.2307692307693	1275.0	591.625	220.0	344.36842105263156	450.1304347826087	909.4615384615385	478.0	238.0	709.1666666666666	875.4	310.85714285714283	616.6666666666666	1384.375	661.05	1195.05	462.2608695652174	567.4285714285714	1144.5	1575.0	549.4285714285714	535.5	1926.0	494.57142857142856	1530.0	953.1666666666666	443.5263157894737	443.4375	258.9130434782609	1070.1	576.15	631.125	618.125	885.75	293.04545454545456	643.7368421052631	672.2857142857143	500.3076923076923	918.0	1548.0	772.5	1371.75	1332.75	751.125	224.07692307692307	476.1666666666667	604.0	1067.0	1441.0434782608695	1538.0	1813.0	602.25	669.8571428571429	639.0	417.85714285714283	693.4090909090909	1571.25	648.0	813.9545454545455	1565.8695652173913	455.04545454545456	1715.8333333333333	311.4782608695652	435.42857142857144	468.75	1068.0	448.35	1138.5	820.3333333333334	414.1363636363636	563.4285714285714	270.75	850.695652173913	678.8571428571429	1813.5	1794.0	282.88235294117646	1627.5	832.5	1519.2	1159.695652173913	1517.25	1513.0	628.7368421052631	782.25	1215.0	852.7058823529412	1246.0	1362.0	1514.0	934.5	463.22727272727275	948.2142857142857	668.7692307692307	1354.0	873.75	929.8235294117648	499.1666666666667	1038.0	1841.0	295.90909090909093	793.125	727.2631578947369	1138.304347826087	594.8823529411765	612.6521739130435	495.27272727272725	716.3684210526316	669.3529411764706	422.57142857142856	1061.0869565217392	1070.25	375.75	403.09090909090907	1258.5	1212.0	546.4285714285714	1296.0	1791.8181818181818	735.875	516.5	715.2631578947369	1243.6363636363637	1975.5	297.0	396.75	1702.111111111111	611.4	2226.0	1395.9545454545455	558.5625	646.5	618.75	788.4285714285714	2289.0	1074.0	670.65	299.04545454545456	1269.0	1692.75	1589.25	624.6	1513.75	1185.0	1891.5	1434.0	988.5	924.6923076923077	957.0	1414.2631578947369	1222.3636363636363	2066.875	927.0	1602.9545454545455	1222.0	1219.0	516.4090909090909	518.3181818181819	610.2	462.85714285714283	407.8636363636364	1040.0	1200.0	605.8846153846154	601.9615384615385	652.0	716.25	474.57142857142856	774.1428571428571	477.45	970.9411764705883	879.0	1224.0	1341.1304347826087	608.4	1177.5	679.5	898.5	639.7142857142857	426.70588235294116	844.0	442.7647058823529	864.8	518.3333333333334	720.6	1354.5	1046.7777777777778	960.0	575.52	678.6315789473684	3470.25	610.5	1867.3125	1204.2	589.2352941176471	981.4090909090909	400.0	601.4285714285714	778.375	653.3333333333334	734.75	461.45454545454544	924.0	552.6	625.65	338.6	1137.0	1735.4285714285713	476.625	1550.8333333333333	476.8333333333333	420.5625	450.6666666666667	414.1304347826087	662.1176470588235	719.4545454545455	368.5263157894737	778.5	547.2272727272727	1722.6315789473683	1275.0	676.2352941176471	712.0434782608696	814.6	884.4	563.7272727272727	645.7142857142857	1533.0	1527.5714285714287	1316.25	148.5	489.6666666666667	944.875	993.2142857142857	639.2608695652174	1428.0	275.47058823529414	766.9565217391304	2244.15	633.2307692307693	704.3478260869565	914.4	625.2272727272727	721.0	801.0	1625.0	593.55	344.04	698.25	342.0	1183.5	799.0	508.5	2239.5	653.0	279.0	594.6521739130435	1246.5652173913043	871.1666666666666	293.75	660.6315789473684	2142.0	1314.75	595.7727272727273	915.2727272727273	1561.5	1799.0	735.3913043478261	760.5	918.0	946.5	1176.0	422.55	361.3125	508.2631578947368	2018.0	951.6923076923077	1001.88	384.0	1026.0	268.57142857142856	380.52	850.0	1110.1304347826087	1237.8	1107.7142857142858	847.7142857142857	1629.0	1050.9473684210527	796.0434782608696	975.0	1548.0	1296.75	372.0	1297.125	1930.5	385.7142857142857	1209.0	1323.0	1211.8125	876.1363636363636	566.4	911.3333333333334	437.2105263157895	462.42857142857144	715.0	1258.235294117647	757.7142857142857	366.54545454545456	562.421052631579	629.7142857142857	1125.0	210.0	653.55	1021.35	2227.6	2368.5	582.75	1371.6	1905.0	607.2857142857143	685.7727272727273	2046.0	1171.2	820.1739130434783	760.5	1958.25	554.8421052631579	997.5	506.8636363636364	1342.5	853.2857142857143	1845.0	968.4545454545455	1547.5	694.5	2007.0	350.4782608695652	803.8	488.85714285714283	315.27272727272725	523.0909090909091	2232.681818181818	1410.6	440.4375	662.2105263157895
FMN_104807_P001_WB04	0	2014	623	2166	556	3569	0	1195	4333	0	1389	1617	2150	1861	6366	689	693	1769	0	2023	351	2357	714	1135	1736	0	784	2165	0	2480	713	1525	652	2897	0	637	2067	0	899	789	600	651	850	0	1434	2933	0	3308	0	0	1773	0	1014	2454	1950	0	0	1843	0	573	0	621	0	983	0	0	0	0	1422	261	0	1218	0	1452	2405	1338	2397	2437	0	0	836	1839	1147	1647	2392	1479	0	936	0	1305	564	2203	566	372	0	0	0	482	0	960	1635	661	2800	948	299	1488	0	987	0	1875	1053	0	2319	781	608	1264	2205	2993	0	1509	2182	1090	1797	2094	2184	1352	1290	2564	1097	2302	2329	1667	1530	1166	2790	0	1013	730	946	1056	1453	0	388	0	1125	414	2121	0	0	2405	1614	834	1319	2601	944	548	1421	1216	2034	0	0	1045	0	0	2098	1218	1063	2079	1646	3183	1477	978	0	2417	2656	2589	1440	4624	1567	2445	360	1790	0	1125	1069	0	535	1696	2019	1533	1718	0	717	0	0	0	0	2142	0	1112	1377	1662	0	1507	1039	763	2013	1266	2121	1087	1254	1303	1508	0	0	1484	0	797	0	1577	979	1505	1752	0	985	4553	1879	2025	0	1809	1225	1226	0	1012	641	1078	0	355	1719	572	670	1655	2911	1040	1103	0	2303	842	839	0	0	0	1366	711	343	2522	0	801	766	0	0	745	1626	0	3042	1083	1452	1219	0	475	2823	0	1047	366	1093	0	0	0	1305	2869	2114	0	402	1332	0	888	0	1225	2925	2413	680	634	1812	979	479	407	1515	2170	0	0	2986	2461	572	1394	1510	858	1279	535	2222	0	4500	1997	524	595	1673	519	0	1210	1503	2557	3183	0	1237	0	577	1713	2476	2682	891	0	1326	0	1536	1695	2861	439	0	0	0	410	1126	707	656	0	998	0	2798	673	980	0	4073	2660	1326	1847	1644	1865	0	1809	737	1128	738	2780	0	1269	0	2345	0	1977	0	2318	720	2355	780	935	0	0	0	2864	2014	884	541
FMN_104807_P001_WB10	0	2368	1287	2356	921	4420	0	2065	4761	844	1947	2248	2411	2427	6565	1099	1051	2257	0	2525	1139	2372	1181	1816	2453	0	894	2775	0	3464	0	2283	1320	3104	0	1174	2351	0	761	1207	1483	878	1496	0	1928	3326	0	3742	0	0	2436	0	1710	2752	2108	0	0	2635	0	813	734	1193	0	1198	0	0	433	0	2096	1273	0	1933	0	2058	2960	1484	2448	3168	1028	0	1106	2100	1589	2075	2856	2281	0	1577	0	1647	1291	2788	830	1179	0	0	0	1043	0	1530	2029	725	3490	919	478	1660	0	1855	0	2458	1674	0	3229	1550	689	1565	2843	4114	677	2266	2689	1565	2379	3041	2480	1756	1831	3411	1748	2883	2446	2253	2515	1652	3294	0	1828	1377	1288	1469	1997	0	1225	0	1598	730	2504	0	0	2913	2127	1442	1784	4423	1641	732	1931	1991	3108	0	0	1478	1064	0	2601	1622	1817	2688	1946	3528	2232	1540	0	2664	3327	2794	2435	5356	2234	3149	1147	1982	1214	1511	1411	0	1524	2602	3171	2045	2469	0	1269	0	0	0	0	2181	0	1503	2040	2325	867	2376	1941	1047	2408	1670	2591	2171	1870	1915	1511	0	1471	2146	0	1262	0	1736	1294	1855	2338	0	1498	5356	1913	3114	0	2103	1428	1741	0	1347	723	1935	0	918	2275	1512	1245	2309	2824	1533	1480	665	3279	1456	969	0	0	0	1660	917	643	2804	0	792	995	0	0	1367	2853	0	3433	1798	1908	1919	0	768	3301	0	2003	1101	1774	0	0	862	1418	2726	2593	0	1034	1796	0	817	0	1738	3327	3264	1048	1060	2347	1527	921	1190	1896	2347	548	0	3372	3041	850	2298	2294	1689	1887	754	2480	0	5518	2300	1001	576	2282	522	0	1712	2028	2904	3612	0	1464	791	858	2596	3195	2798	1418	0	2030	0	2008	2427	3568	595	0	0	0	1264	1548	969	712	0	1820	0	3185	864	1662	0	4784	3211	1924	3403	2476	2154	640	2283	1299	1439	1470	3264	0	1568	0	2811	0	2095	601	2855	1012	2891	1181	994	0	0	471	4391	3203	1263	1116
FMN_104807_P001_WC06	0	2379	1297	2422	903	4782	0	1990	4541	869	1948	2373	2383	2039	6923	1002	1462	2289	0	2616	548	3092	1264	1657	2333	0	979	2325	0	3632	784	2139	1199	3223	0	1070	2594	0	1184	1019	863	1015	1362	0	1847	3443	0	3895	0	0	2695	0	1336	2885	2053	0	0	2168	0	933	0	1209	0	1208	0	0	539	0	1819	1437	0	1769	0	1811	2834	1373	2556	3183	562	0	1275	1945	1518	1986	2894	1819	0	1552	0	1737	1349	2843	932	1017	0	0	0	708	0	1689	2040	1238	2591	869	1121	1911	0	1618	0	2226	1613	0	3627	1450	620	1319	2918	3568	0	2086	2586	1638	2010	2870	2448	1536	1534	3350	1629	2805	2126	1842	2304	1542	2811	0	1709	1396	1328	1278	1876	0	1182	0	1138	593	2779	0	0	2975	2049	1521	1650	4411	1755	759	1805	1730	2608	0	0	1514	0	0	2420	1718	1759	2657	1605	3468	1943	1594	0	2799	3201	2776	2456	5443	2355	3074	1029	2237	0	1416	1463	0	1516	2264	2678	2007	2367	0	1076	0	0	0	1011	2441	0	1614	1755	1867	813	2151	1542	1151	2478	1734	2196	2086	1667	1605	1643	0	610	1961	0	1222	919	2002	1359	2028	2375	0	1857	4932	1422	2657	0	2222	1719	1667	0	1417	941	1863	0	1129	2304	1113	864	2212	2822	1077	1520	0	3134	977	1246	0	0	0	2192	836	0	3052	635	1406	1194	0	0	1433	2750	0	3513	1401	1819	1590	0	728	3587	0	1817	0	1762	0	0	804	1264	3307	2690	0	825	1705	0	787	0	1660	3090	3076	846	845	2329	1646	978	642	1631	2588	0	0	3354	2845	686	1958	2202	1308	1892	884	2278	0	5046	2329	899	626	2247	456	0	1891	1924	2996	3538	0	1743	0	966	2222	2769	2697	1260	0	2066	0	2019	2485	3882	767	0	0	0	1050	1377	828	809	0	1855	0	3430	1003	1238	0	4810	3142	1714	2861	2404	2076	0	2060	1334	1125	1399	3430	0	1791	0	3034	0	2241	715	2845	899	2999	1150	1360	396	0	633	4427	3065	1368	999
FMN_104807_P001_WC09	0	2162	1279	2714	947	4198	0	1865	4498	765	1726	2176	2358	2475	7487	881	1366	2266	0	2633	1068	2514	872	1498	2358	0	1222	2464	0	2636	762	1233	1888	3390	0	992	2613	1096	1034	1347	1048	1389	1284	0	1739	3165	0	3756	1534	0	1850	859	961	2591	1907	0	0	2471	0	902	0	1335	0	1143	0	0	0	659	2015	1254	0	1911	0	1605	2928	1431	2740	2601	0	0	963	2071	1603	1817	2720	1245	0	1367	0	1869	883	2792	963	1105	0	0	0	0	0	1622	2010	1006	3449	1050	1046	1650	878	1336	0	2395	1699	0	3141	1351	0	1544	2796	3182	0	1925	2690	2470	2253	2024	2549	1587	1623	3149	2194	2781	2581	2010	1973	1619	3208	664	1743	1182	1826	1377	1744	0	1328	0	1534	731	2581	0	0	2955	1918	1305	1601	3712	1612	806	1632	1321	3144	0	0	1367	0	0	2650	1625	1789	2785	2157	3317	2033	1323	0	2418	3210	2760	2363	5133	1894	3014	994	2068	0	0	1447	442	1785	2463	2370	1785	2222	0	1148	0	0	0	847	2398	0	1533	1323	2123	0	2129	1358	1395	2405	1097	2650	1395	1874	2025	1961	0	492	1887	0	2524	0	1779	1232	1868	2327	0	2056	5044	2137	3681	1510	2067	1381	2067	0	901	843	1293	0	1324	2462	1166	1103	2059	3117	1480	1478	1065	3096	1142	1039	0	0	0	1894	0	0	3161	0	1668	711	0	0	1089	1903	0	3315	1559	1855	1926	0	399	3080	0	1917	817	2034	649	0	1636	1585	2944	2502	616	1038	1844	0	717	971	1727	3383	2926	0	1023	2366	1559	0	1240	1763	2565	542	0	3608	2711	877	1865	2043	1294	1643	839	2632	0	4996	2260	990	777	2096	1162	0	1780	2332	3007	3558	0	1250	0	0	2057	2785	2714	1164	0	1986	0	2060	2163	2434	805	0	0	0	1487	932	1066	925	0	1874	0	3128	0	1245	0	4724	2880	1891	2785	2154	2036	0	2236	1321	1237	1377	3116	0	1576	586	2601	0	2097	0	2726	822	2607	1206	1589	0	0	0	4014	2565	1406	1159
FMN_104807_P001_WG07	0	2024	673	2347	615	3768	0	1484	4056	495	1362	1803	1142	2078	6381	751	764	1649	0	2116	548	2362	764	1229	1796	0	770	2114	0	2555	0	1667	837	2902	0	720	2023	0	790	803	0	974	925	0	1775	2984	0	3136	0	0	1677	0	763	2262	1535	0	0	1852	0	476	0	748	0	804	0	0	0	0	1422	790	0	1947	0	1364	2461	952	2497	2554	0	0	766	1544	1112	1706	2247	1740	0	1070	0	1413	1128	2381	708	633	0	0	0	528	0	1176	1602	757	2869	991	665	1364	0	1155	0	2037	1133	0	2553	1199	540	1112	2202	3297	0	1485	2227	1055	1914	1966	2109	1141	1327	2687	1070	2350	2055	1540	1629	1324	2585	0	1300	855	1048	1135	1306	0	526	0	1158	685	2042	0	0	2595	1623	963	1312	2569	843	665	1582	1201	2034	0	0	1040	0	0	2315	1289	1232	2237	1194	3146	1588	961	0	2142	2641	2258	1341	4716	1524	2704	449	1572	825	1275	1160	0	524	1838	1364	1590	1925	0	921	0	0	0	0	2116	0	979	1126	1836	0	1638	1209	598	2048	1382	2401	1471	1369	1153	1455	0	0	1728	0	726	0	1457	940	1535	1939	0	1057	4902	1490	2404	0	1814	1112	1578	0	992	697	1668	0	674	2093	522	519	1653	2546	1051	950	0	2240	850	1181	0	0	0	1484	0	466	2625	0	671	606	0	0	834	1688	0	3068	1269	1437	1189	0	528	2869	0	931	0	1211	0	0	469	902	2881	2135	0	666	1330	0	463	0	1338	2895	2428	762	949	2175	1075	475	491	1612	2045	0	0	2900	2580	392	1432	1533	611	1337	645	2040	0	4628	1856	758	589	1782	828	0	1187	1832	2477	3149	0	1140	0	565	1803	2633	2247	771	0	1500	0	1711	2022	3059	0	0	0	0	1014	1169	726	0	0	1664	0	2509	683	967	0	4072	2542	1242	1979	1839	2055	0	1894	711	851	774	2724	0	1372	0	2335	0	1606	0	2152	625	2438	731	646	0	0	455	2909	2110	1068	0
FMN_104807_P001_WH08	0	2126	691	2348	689	3907	0	1463	4406	0	1747	2106	2193	2231	6742	951	734	2064	0	2242	521	2581	798	1136	2072	0	694	2262	0	2351	0	1738	914	3098	0	971	2255	0	1076	1140	0	721	1106	0	1561	1888	0	3786	0	0	2034	0	1323	2558	1940	0	0	2083	0	675	0	908	0	1020	0	0	0	0	1812	1125	0	1952	0	1610	2580	1391	2720	2846	0	0	841	1811	1289	1873	2548	2069	0	1102	0	1547	654	2808	878	965	0	0	0	668	0	1402	1870	776	3238	887	580	1540	0	1143	0	2006	1474	0	3393	1082	0	1367	2976	3446	0	1729	2303	1304	1702	2021	2305	1276	1444	3381	1365	2538	2243	1768	2304	1380	2670	0	1596	1118	1168	824	1549	0	0	0	1311	635	2304	0	0	2630	1682	1275	1422	4043	1144	654	1479	1504	2845	0	0	1101	0	0	2222	1386	1456	2345	1209	3347	1591	1304	0	2443	2933	2605	2373	5752	2069	2922	467	2053	1090	1245	1023	0	1161	1466	2265	1756	1978	0	975	0	0	0	0	2270	0	1329	1516	2206	616	2012	1292	894	1970	1432	2338	1196	1324	1248	1475	0	0	1842	0	811	0	1707	1179	1764	2063	0	1305	4824	1403	2437	0	1865	1192	1784	0	1038	652	1901	0	744	2047	0	920	2062	3070	1237	836	0	2799	1030	1414	0	0	0	1774	722	0	2861	0	947	669	0	0	977	1744	0	3120	1483	1612	1311	0	582	3133	0	1523	0	1547	0	693	853	1175	2545	2410	0	747	1637	0	846	0	1523	4145	2584	633	830	2070	1362	778	648	1855	2332	0	0	3174	2666	575	1582	1821	1090	1809	506	2259	0	4777	1974	703	751	1997	477	0	1380	1754	2826	3565	0	1546	0	686	1887	2726	2469	866	0	1853	0	1731	2068	3269	683	0	0	0	602	1238	940	0	0	1422	0	2919	724	1128	0	4254	2853	1487	2360	2033	1713	0	1687	1227	1026	969	2906	0	1523	0	2422	0	1925	642	2351	891	2757	1133	536	0	0	455	3201	2397	1010	1054
FMN_104807_P003_WB04	0	2034	749	2285	0	3605	0	1397	4389	0	1523	1879	2298	2319	6081	701	1435	1951	0	2331	0	2478	949	1451	2004	0	794	2244	0	2260	739	975	952	3316	0	800	2389	0	948	909	0	556	1220	0	1927	3184	0	3343	0	0	1676	0	937	2321	1750	0	0	1886	0	546	0	973	0	833	0	0	0	0	1339	948	0	1105	0	2113	2735	714	2495	2763	0	0	900	1559	1242	1600	2402	1234	0	1128	0	1328	576	2520	749	0	0	0	0	651	0	980	1736	0	3340	1581	0	1402	0	1113	0	1970	2820	0	2735	952	0	1195	2375	2410	0	1740	2257	1110	1826	2191	2202	1326	1483	3191	1262	2468	2162	1797	1815	1289	2733	0	1444	0	1051	1018	1596	0	0	0	998	0	2068	0	0	2387	1650	1153	1510	2712	893	602	1484	1062	2080	0	0	1163	0	0	2105	1250	1513	1918	1000	3075	1552	1287	0	2346	2838	2405	1751	5039	2217	2828	679	1699	0	970	1132	0	245	1946	1761	1575	1919	0	775	0	0	0	960	2131	0	1019	1301	1812	519	1482	1232	662	2042	1361	2123	1026	1375	1294	1586	0	0	1702	0	816	0	1704	1138	1592	2201	0	1013	4762	1877	2453	0	1948	1083	1495	0	0	750	1154	0	493	1905	0	511	1555	3004	987	1018	0	2436	915	941	0	0	0	1591	0	0	2835	0	884	745	0	0	830	1961	0	3034	1132	1523	1333	0	0	2960	0	1194	0	1370	0	0	0	1031	2451	2036	0	556	1401	0	0	518	1493	3033	2102	0	278	2009	1229	467	0	3138	2274	0	0	2999	2567	0	1498	1695	1173	1343	0	2650	0	4653	1856	545	0	1932	1146	0	1426	1934	2689	3448	0	1263	0	381	1865	2447	2205	787	0	1703	0	1707	1812	2784	608	0	0	0	0	756	554	0	0	1111	0	2725	762	1018	0	4214	2877	1393	1999	1801	1856	0	1651	1113	813	798	2881	0	1690	0	2426	0	1981	0	2399	0	2512	763	0	0	0	0	3088	2088	1052	0
FMN_104807_P003_WB05	0	2292	633	2467	757	3440	0	1821	4497	559	1994	1809	2412	1925	6230	760	1133	2126	0	1939	0	2775	958	1442	2312	0	612	2338	0	2408	540	2167	1114	3148	0	964	2371	0	917	1122	411	974	1402	0	1742	3195	0	3467	0	0	1727	0	1015	2506	1929	0	0	2015	0	618	397	786	0	1125	0	0	0	0	1910	1186	0	1736	0	1338	2801	1524	3012	2582	473	0	819	2016	1553	1930	2608	1599	0	1450	0	1559	820	2457	979	957	0	0	0	821	0	734	2202	0	3364	1850	302	1589	0	1813	0	2400	2976	0	3461	1322	0	1440	2710	3498	0	1712	2334	1438	2218	2754	2447	1468	1610	3152	1670	2599	2638	1863	1452	1523	2848	0	1612	868	1241	1288	1666	0	640	0	1355	0	2263	0	0	2467	1941	1389	1516	3148	1117	805	1659	2020	2821	0	0	1438	0	0	2218	1444	1287	2293	1624	3377	1700	1333	0	2544	2923	2617	1241	5161	1979	3076	1087	2126	1184	1480	1428	0	1587	2168	2284	1921	2078	0	885	0	0	0	867	2348	0	1257	1576	1970	708	2036	1500	956	2205	1851	2398	1370	1674	1612	1734	0	0	1755	0	948	0	1867	1354	1832	2124	0	1428	5131	1525	2088	0	1931	698	1751	0	1139	760	1855	0	816	2310	1119	1012	1896	3151	1317	1244	0	2844	1189	972	0	0	0	1727	0	413	3072	0	1518	1167	0	0	811	1829	0	3278	1543	1235	1549	0	427	3427	0	1643	0	1320	0	0	907	1125	2606	2498	0	1015	1626	0	640	0	1713	3298	3053	672	764	2043	1367	890	971	1876	2181	0	0	3144	2656	0	1655	1999	1245	1804	0	2019	0	4839	2225	751	793	1976	936	0	1527	1883	2805	3639	0	1433	0	768	2622	2777	2365	1042	0	1840	0	2015	2223	3538	508	0	0	0	0	1652	713	743	0	1843	0	2901	722	1161	0	4555	2946	1595	2709	2441	2147	0	2094	1087	1307	1091	3175	0	1902	0	2264	0	1923	0	2656	0	2706	942	948	0	0	0	3781	2464	1331	849
FMN_104807_P003_WB07	0	2204	888	2302	859	4218	0	1708	4480	0	0	1856	2308	2366	7140	864	995	1667	0	2565	0	2571	1011	1884	2389	0	941	2301	0	2928	0	2185	1189	3136	0	976	2359	0	1266	982	791	836	1372	0	1775	3368	0	3538	0	0	1950	0	1195	2675	1824	0	0	1991	0	751	341	1021	0	1097	0	0	0	0	1865	1286	0	1690	0	1662	2980	1362	2990	2801	455	0	1027	2095	1495	1975	2604	2148	0	1602	0	1634	1013	2556	1003	933	0	0	0	761	0	855	2099	1305	3478	972	642	1774	0	2262	0	1758	1600	0	3501	1239	615	1546	4725	3693	0	2109	2483	1446	2146	2663	2517	1317	1446	3238	1564	2734	2334	1736	2082	1640	2738	0	1679	954	1181	1343	1812	0	573	0	1325	362	2267	0	0	2851	1987	1454	1648	4190	1306	890	1627	858	2968	0	0	1550	0	0	2250	1524	1792	2427	993	3383	1710	1442	0	2628	3170	2588	1879	5454	2181	3059	502	2027	967	1318	1370	0	797	2208	2227	1405	2391	0	1000	0	0	0	0	2346	0	1385	1719	1922	0	2014	1456	875	2228	1417	2347	1433	1647	2057	1852	0	0	2029	0	1245	0	1901	895	1805	2672	0	1599	5102	2254	2687	0	1884	1172	1644	0	1224	1181	1825	0	525	2340	918	544	2199	2770	1482	1210	0	2998	883	1143	0	0	0	1897	678	865	3160	0	693	915	0	0	1069	2482	0	3535	1579	1796	1556	0	638	3409	0	1702	0	1338	0	0	314	1081	2588	2743	0	842	1734	0	892	0	1596	2945	2765	729	1024	1891	1611	0	883	1911	2444	0	0	3312	2781	405	1680	1901	1170	1748	713	2522	0	4734	2457	1084	508	2122	507	0	1596	2019	2917	3627	0	1598	540	850	2339	3073	2539	1317	0	2224	0	1997	2385	3256	473	0	0	0	850	1441	1074	0	0	1760	0	2972	741	1190	0	4339	2935	1303	2723	2326	1667	631	2237	908	1314	1298	2914	0	1527	0	2554	0	2203	471	2780	952	2729	1232	613	0	0	0	3861	2952	1205	808
